Partie,Joueur Gagnant,Nombres de coups,Durée
1,4,28,7.0
2,1,49,12.25
3,1,8,2.0
4,3,11,2.75
5,1,81,20.25
6,1,18,4.5
7,1,37,9.25
8,1,23,5.75
9,3,46,11.5
10,2,11,2.75
11,4,29,7.25
12,3,17,4.25
13,3,49,12.25
14,3,18,4.5
15,1,37,9.25
16,3,20,5.0
17,4,31,7.75
18,2,30,7.5
19,4,21,5.25
20,4,17,4.25
21,2,22,5.5
22,1,22,5.5
23,4,16,4.0
24,2,21,5.25
25,4,6,1.5
26,2,50,12.5
27,2,21,5.25
28,3,2,0.5
29,1,91,22.75
30,1,35,8.75
31,1,23,5.75
32,4,9,2.25
33,1,23,5.75
34,4,16,4.0
35,3,8,2.0
36,4,16,4.0
37,2,60,15.0
38,4,31,7.75
39,2,88,22.0
40,3,22,5.5
41,4,21,5.25
42,2,55,13.75
43,1,33,8.25
44,1,22,5.5
45,1,21,5.25
46,2,16,4.0
47,4,17,4.25
48,3,13,3.25
49,1,27,6.75
50,1,16,4.0
51,3,28,7.0
52,1,32,8.0
53,4,17,4.25
54,2,17,4.25
55,3,25,6.25
56,4,23,5.75
57,1,35,8.75
58,2,22,5.5
59,3,9,2.25
60,2,39,9.75
61,2,23,5.75
62,4,34,8.5
63,3,10,2.5
64,4,83,20.75
65,4,32,8.0
66,4,14,3.5
67,4,29,7.25
68,1,16,4.0
69,2,18,4.5
70,2,15,3.75
71,3,59,14.75
72,3,41,10.25
73,4,22,5.5
74,2,54,13.5
75,1,43,10.75
76,1,18,4.5
77,1,60,15.0
78,3,40,10.0
79,4,22,5.5
80,3,52,13.0
81,3,15,3.75
82,2,14,3.5
83,1,11,2.75
84,3,11,2.75
85,4,29,7.25
86,2,27,6.75
87,2,123,30.75
88,3,54,13.5
89,2,58,14.5
90,2,29,7.25
91,3,62,15.5
92,3,9,2.25
93,2,4,1.0
94,2,37,9.25
95,2,11,2.75
96,3,69,17.25
97,3,31,7.75
98,3,65,16.25
99,1,46,11.5
100,3,11,2.75
101,4,13,3.25
102,3,28,7.0
103,1,49,12.25
104,4,43,10.75
105,2,16,4.0
106,3,3,0.75
107,1,19,4.75
108,3,13,3.25
109,3,22,5.5
110,1,26,6.5
111,2,37,9.25
112,3,8,2.0
113,3,12,3.0
114,4,12,3.0
115,1,57,14.25
116,1,22,5.5
117,4,35,8.75
118,3,12,3.0
119,3,31,7.75
120,2,12,3.0
121,2,18,4.5
122,4,8,2.0
123,3,25,6.25
124,3,88,22.0
125,3,24,6.0
126,1,24,6.0
127,4,20,5.0
128,2,18,4.5
129,3,2,0.5
130,2,25,6.25
131,2,12,3.0
132,4,46,11.5
133,1,30,7.5
134,2,24,6.0
135,2,22,5.5
136,1,19,4.75
137,1,47,11.75
138,4,9,2.25
139,4,37,9.25
140,3,11,2.75
141,4,21,5.25
142,1,16,4.0
143,1,11,2.75
144,3,21,5.25
145,4,23,5.75
146,4,21,5.25
147,3,13,3.25
148,3,11,2.75
149,4,84,21.0
150,4,67,16.75
151,3,12,3.0
152,3,16,4.0
153,4,10,2.5
154,3,9,2.25
155,2,9,2.25
156,4,20,5.0
157,4,37,9.25
158,1,21,5.25
159,1,13,3.25
160,4,76,19.0
161,1,43,10.75
162,1,14,3.5
163,3,41,10.25
164,2,32,8.0
165,4,32,8.0
166,3,19,4.75
167,2,17,4.25
168,1,16,4.0
169,4,48,12.0
170,2,18,4.5
171,4,18,4.5
172,2,23,5.75
173,2,16,4.0
174,1,12,3.0
175,1,21,5.25
176,4,20,5.0
177,2,41,10.25
178,3,12,3.0
179,3,22,5.5
180,2,24,6.0
181,3,7,1.75
182,1,18,4.5
183,4,20,5.0
184,3,32,8.0
185,3,36,9.0
186,1,25,6.25
187,3,26,6.5
188,1,19,4.75
189,3,15,3.75
190,4,17,4.25
191,4,12,3.0
192,3,37,9.25
193,3,13,3.25
194,2,42,10.5
195,3,27,6.75
196,3,69,17.25
197,4,39,9.75
198,4,33,8.25
199,4,54,13.5
200,4,24,6.0
201,3,12,3.0
202,3,35,8.75
203,2,38,9.5
204,3,36,9.0
205,3,12,3.0
206,2,26,6.5
207,1,14,3.5
208,1,21,5.25
209,3,34,8.5
210,4,21,5.25
211,3,91,22.75
212,3,39,9.75
213,2,36,9.0
214,3,85,21.25
215,2,52,13.0
216,2,4,1.0
217,3,31,7.75
218,4,26,6.5
219,3,38,9.5
220,3,68,17.0
221,3,12,3.0
222,1,25,6.25
223,2,23,5.75
224,1,6,1.5
225,1,33,8.25
226,1,13,3.25
227,3,11,2.75
228,2,42,10.5
229,4,12,3.0
230,2,15,3.75
231,2,98,24.5
232,4,39,9.75
233,1,33,8.25
234,3,2,0.5
235,3,49,12.25
236,2,49,12.25
237,2,12,3.0
238,2,18,4.5
239,1,24,6.0
240,2,66,16.5
241,3,11,2.75
242,3,14,3.5
243,4,32,8.0
244,2,22,5.5
245,3,19,4.75
246,3,25,6.25
247,4,21,5.25
248,2,57,14.25
249,3,10,2.5
250,2,38,9.5
251,3,49,12.25
252,2,23,5.75
253,2,32,8.0
254,2,12,3.0
255,1,9,2.25
256,3,19,4.75
257,1,13,3.25
258,3,11,2.75
259,2,73,18.25
260,1,11,2.75
261,3,2,0.5
262,2,12,3.0
263,2,31,7.75
264,3,19,4.75
265,4,20,5.0
266,1,19,4.75
267,3,29,7.25
268,2,39,9.75
269,1,33,8.25
270,2,11,2.75
271,2,93,23.25
272,3,3,0.75
273,4,16,4.0
274,2,13,3.25
275,3,57,14.25
276,4,15,3.75
277,3,9,2.25
278,2,13,3.25
279,4,19,4.75
280,3,12,3.0
281,2,19,4.75
282,3,25,6.25
283,3,23,5.75
284,3,16,4.0
285,3,11,2.75
286,3,11,2.75
287,2,54,13.5
288,2,7,1.75
289,1,31,7.75
290,3,12,3.0
291,4,58,14.5
292,4,28,7.0
293,1,6,1.5
294,3,24,6.0
295,3,42,10.5
296,2,15,3.75
297,3,8,2.0
298,4,20,5.0
299,3,13,3.25
300,3,11,2.75
301,3,43,10.75
302,3,11,2.75
303,3,9,2.25
304,4,41,10.25
305,1,36,9.0
306,4,25,6.25
307,3,4,1.0
308,3,17,4.25
309,2,27,6.75
310,2,32,8.0
311,4,21,5.25
312,3,10,2.5
313,2,34,8.5
314,4,34,8.5
315,3,33,8.25
316,2,39,9.75
317,4,25,6.25
318,4,63,15.75
319,4,34,8.5
320,2,19,4.75
321,3,12,3.0
322,4,14,3.5
323,2,23,5.75
324,4,18,4.5
325,3,12,3.0
326,4,27,6.75
327,1,25,6.25
328,4,47,11.75
329,1,47,11.75
330,4,34,8.5
331,3,22,5.5
332,1,39,9.75
333,4,12,3.0
334,3,21,5.25
335,3,24,6.0
336,3,20,5.0
337,2,28,7.0
338,4,22,5.5
339,1,16,4.0
340,3,20,5.0
341,2,22,5.5
342,2,26,6.5
343,2,76,19.0
344,3,24,6.0
345,1,12,3.0
346,1,25,6.25
347,3,22,5.5
348,3,2,0.5
349,4,30,7.5
350,2,46,11.5
351,1,17,4.25
352,3,10,2.5
353,1,32,8.0
354,2,50,12.5
355,3,14,3.5
356,4,17,4.25
357,1,12,3.0
358,3,31,7.75
359,2,56,14.0
360,3,34,8.5
361,1,30,7.5
362,1,33,8.25
363,1,17,4.25
364,4,37,9.25
365,3,22,5.5
366,4,25,6.25
367,4,18,4.5
368,2,5,1.25
369,4,26,6.5
370,1,19,4.75
371,3,13,3.25
372,4,43,10.75
373,2,33,8.25
374,2,19,4.75
375,3,21,5.25
376,3,10,2.5
377,4,13,3.25
378,1,16,4.0
379,2,28,7.0
380,4,33,8.25
381,3,44,11.0
382,3,29,7.25
383,2,15,3.75
384,2,29,7.25
385,2,21,5.25
386,4,52,13.0
387,3,19,4.75
388,4,29,7.25
389,3,48,12.0
390,4,20,5.0
391,3,12,3.0
392,1,43,10.75
393,4,14,3.5
394,3,9,2.25
395,3,12,3.0
396,3,45,11.25
397,1,29,7.25
398,2,39,9.75
399,1,12,3.0
400,3,18,4.5
401,2,13,3.25
402,2,26,6.5
403,3,12,3.0
404,4,30,7.5
405,3,25,6.25
406,3,19,4.75
407,3,10,2.5
408,1,76,19.0
409,3,19,4.75
410,3,65,16.25
411,3,22,5.5
412,3,20,5.0
413,3,3,0.75
414,2,12,3.0
415,4,26,6.5
416,2,32,8.0
417,3,11,2.75
418,2,30,7.5
419,2,11,2.75
420,4,27,6.75
421,2,103,25.75
422,2,20,5.0
423,2,35,8.75
424,3,11,2.75
425,3,12,3.0
426,3,23,5.75
427,2,20,5.0
